법정동코드,center_point,경도,위도,법정동명,level,sd_cd,sd_nm,sgg_cd,sgg_nm,emd_cd,sgg_cnt,sgg_list
2620000000,POINT (129.06482328776696 35.0786499762093),129.06482328776696,35.0786499762093,부산광역시 영도구,1,26,부산광역시,26200,영도구,26200000,0,
2623000000,POINT (129.0430603409617 35.16524411040766),129.0430603409617,35.16524411040766,부산광역시 부산진구,1,26,부산광역시,26230,부산진구,26230000,0,
2626000000,POINT (129.07922008699734 35.20621244135104),129.07922008699734,35.20621244135104,부산광역시 동래구,1,26,부산광역시,26260,동래구,26260000,0,
2629000000,POINT (129.09430684945312 35.12554764750397),129.09430684945312,35.12554764750397,부산광역시 남구,1,26,부산광역시,26290,남구,26290000,0,
2632000000,POINT (129.02346325575644 35.22924789232073),129.02346325575644,35.22924789232073,부산광역시 북구,1,26,부산광역시,26320,북구,26320000,0,
2635000000,POINT (129.1535899895856 35.19385512386304),129.1535899895856,35.19385512386304,부산광역시 해운대구,1,26,부산광역시,26350,해운대구,26350000,0,
2638000000,POINT (128.97380766524307 35.08887911580299),128.97380766524307,35.08887911580299,부산광역시 사하구,1,26,부산광역시,26380,사하구,26380000,0,
2641000000,POINT (129.0915287443504 35.25889374529874),129.0915287443504,35.25889374529874,부산광역시 금정구,1,26,부산광역시,26410,금정구,26410000,0,
2644000000,POINT (128.89240063276233 35.13834787362375),128.89240063276233,35.13834787362375,부산광역시 강서구,1,26,부산광역시,26440,강서구,26440000,0,
2647000000,POINT (129.08293526714792 35.182417980427175),129.08293526714792,35.182417980427175,부산광역시 연제구,1,26,부산광역시,26470,연제구,26470000,0,
2650000000,POINT (129.11120171810248 35.161307535009165),129.11120171810248,35.161307535009165,부산광역시 수영구,1,26,부산광역시,26500,수영구,26500000,0,
2653000000,POINT (128.9865923735508 35.158030968924145),128.9865923735508,35.158030968924145,부산광역시 사상구,1,26,부산광역시,26530,사상구,26530000,0,
2671000000,POINT (129.2009559930802 35.2980116551923),129.2009559930802,35.2980116551923,부산광역시 기장군,1,26,부산광역시,26710,기장군,26710000,0,
2700000000,POINT (128.59917423819087 35.96946841259647),128.59917423819087,35.96946841259647,대구광역시,0,27,대구광역시,27000,,27000000,9,"['대구광역시 중구' '대구광역시 동구' '대구광역시 서구' '대구광역시 남구' '대구광역시 북구' '대구광역시 수성구'
 '대구광역시 달서구' '대구광역시 달성군' '대구광역시 군위군']"
2711000000,POINT (128.5936058298973 35.866535287078875),128.5936058298973,35.866535287078875,대구광역시 중구,1,27,대구광역시,27110,중구,27110000,0,
2714000000,POINT (128.6856599198781 35.93442632696466),128.6856599198781,35.93442632696466,대구광역시 동구,1,27,대구광역시,27140,동구,27140000,0,
2717000000,POINT (128.54969760013887 35.87500167012131),128.54969760013887,35.87500167012131,대구광역시 서구,1,27,대구광역시,27170,서구,27170000,0,
2720000000,POINT (128.58532962764704 35.835177156626415),128.58532962764704,35.835177156626415,대구광역시 남구,1,27,대구광역시,27200,남구,27200000,0,
2723000000,POINT (128.57739940142085 35.92879662779665),128.57739940142085,35.92879662779665,대구광역시 북구,1,27,대구광역시,27230,북구,27230000,0,
2726000000,POINT (128.66127441262057 35.83384885992465),128.66127441262057,35.83384885992465,대구광역시 수성구,1,27,대구광역시,27260,수성구,27260000,0,
2729000000,POINT (128.52921214045293 35.82748309745462),128.52921214045293,35.82748309745462,대구광역시 달서구,1,27,대구광역시,27290,달서구,27290000,0,
2771000000,POINT (128.49822564361924 35.759715939474624),128.49822564361924,35.759715939474624,대구광역시 달성군,1,27,대구광역시,27710,달성군,27710000,0,
2772000000,POINT (128.64822460165743 36.17011208369447),128.64822460165743,36.17011208369447,대구광역시 군위군,1,27,대구광역시,27720,군위군,27720000,0,
2800000000,POINT (126.37920303028298 37.58366913851117),126.37920303028298,37.58366913851117,인천광역시,0,28,인천광역시,28000,,28000000,10,"['인천광역시 중구' '인천광역시 동구' '인천광역시 미추홀구' '인천광역시 연수구' '인천광역시 남동구' '인천광역시 부평구'
 '인천광역시 계양구' '인천광역시 서구' '인천광역시 강화군' '인천광역시 옹진군']"
2811000000,POINT (126.48282466087248 37.46909843223474),126.48282466087248,37.46909843223474,인천광역시 중구,1,28,인천광역시,28110,중구,28110000,0,
2814000000,POINT (126.63903338333755 37.48333879066716),126.63903338333755,37.48333879066716,인천광역시 동구,1,28,인천광역시,28140,동구,28140000,0,
2817700000,POINT (126.66465464686853 37.4525949143596),126.66465464686853,37.4525949143596,인천광역시 미추홀구,1,28,인천광역시,28177,미추홀구,28177000,0,
2818500000,POINT (126.64856282442582 37.39592101154916),126.64856282442582,37.39592101154916,인천광역시 연수구,1,28,인천광역시,28185,연수구,28185000,0,
2820000000,POINT (126.72657022071635 37.4311330039043),126.72657022071635,37.4311330039043,인천광역시 남동구,1,28,인천광역시,28200,남동구,28200000,0,
2823700000,POINT (126.72120944765086 37.49665874319289),126.72120944765086,37.49665874319289,인천광역시 부평구,1,28,인천광역시,28237,부평구,28237000,0,
2824500000,POINT (126.73469993000735 37.55729695926558),126.73469993000735,37.55729695926558,인천광역시 계양구,1,28,인천광역시,28245,계양구,28245000,0,
2826000000,POINT (126.6558210721649 37.55786765604944),126.6558210721649,37.55786765604944,인천광역시 서구,1,28,인천광역시,28260,서구,28260000,0,
2871000000,POINT (126.40208536016097 37.71244077960499),126.40208536016097,37.71244077960499,인천광역시 강화군,1,28,인천광역시,28710,강화군,28710000,0,
2872000000,POINT (125.63599069071144 37.54397066991381),125.63599069071144,37.54397066991381,인천광역시 옹진군,1,28,인천광역시,28720,옹진군,28720000,0,
2900000000,POINT (126.83543483014738 35.155737233249994),126.83543483014738,35.155737233249994,광주광역시,0,29,광주광역시,29000,,29000000,5,['광주광역시 동구' '광주광역시 서구' '광주광역시 남구' '광주광역시 북구' '광주광역시 광산구']
2911000000,POINT (126.94946427829282 35.11738023147197),126.94946427829282,35.11738023147197,광주광역시 동구,1,29,광주광역시,29110,동구,29110000,0,
2914000000,POINT (126.85071913996504 35.13569310897551),126.85071913996504,35.13569310897551,광주광역시 서구,1,29,광주광역시,29140,서구,29140000,0,
2915500000,POINT (126.85671809918249 35.094058246228016),126.85671809918249,35.094058246228016,광주광역시 남구,1,29,광주광역시,29155,남구,29155000,0,
2917000000,POINT (126.92548647859529 35.19324610781101),126.92548647859529,35.19324610781101,광주광역시 북구,1,29,광주광역시,29170,북구,29170000,0,
2920000000,POINT (126.75289521522147 35.165035015063125),126.75289521522147,35.165035015063125,광주광역시 광산구,1,29,광주광역시,29200,광산구,29200000,0,
3000000000,POINT (127.39401993834598 36.33972242888822),127.39401993834598,36.33972242888822,대전광역시,0,30,대전광역시,30000,,30000000,5,['대전광역시 동구' '대전광역시 중구' '대전광역시 서구' '대전광역시 유성구' '대전광역시 대덕구']
3011000000,POINT (127.47503742681833 36.32392023172134),127.47503742681833,36.32392023172134,대전광역시 동구,1,30,대전광역시,30110,동구,30110000,0,
3014000000,POINT (127.41105730842553 36.28086015083615),127.41105730842553,36.28086015083615,대전광역시 중구,1,30,대전광역시,30140,중구,30140000,0,
3017000000,POINT (127.3451041251579 36.28023962571523),127.3451041251579,36.28023962571523,대전광역시 서구,1,30,대전광역시,30170,서구,30170000,0,
3020000000,POINT (127.33312868347555 36.376611788297076),127.33312868347555,36.376611788297076,대전광역시 유성구,1,30,대전광역시,30200,유성구,30200000,0,
3023000000,POINT (127.44015180936023 36.41217868163981),127.44015180936023,36.41217868163981,대전광역시 대덕구,1,30,대전광역시,30230,대덕구,30230000,0,
3100000000,POINT (129.23801946724126 35.553776161104885),129.23801946724126,35.553776161104885,울산광역시,0,31,울산광역시,31000,,31000000,5,['울산광역시 중구' '울산광역시 남구' '울산광역시 동구' '울산광역시 북구' '울산광역시 울주군']
3111000000,POINT (129.30824285432786 35.57104933891135),129.30824285432786,35.57104933891135,울산광역시 중구,1,31,울산광역시,31110,중구,31110000,0,
3114000000,POINT (129.32820225903953 35.51604995526944),129.32820225903953,35.51604995526944,울산광역시 남구,1,31,울산광역시,31140,남구,31140000,0,
3117000000,POINT (129.42606551516607 35.52557365184745),129.42606551516607,35.52557365184745,울산광역시 동구,1,31,울산광역시,31170,동구,31170000,0,
3120000000,POINT (129.3798105060477 35.61005392205529),129.3798105060477,35.61005392205529,울산광역시 북구,1,31,울산광역시,31200,북구,31200000,0,
3171000000,POINT (129.18769388932955 35.54607928615692),129.18769388932955,35.54607928615692,울산광역시 울주군,1,31,울산광역시,31710,울주군,31710000,0,
3611000000,POINT (127.25878005171005 36.5606577077708),127.25878005171005,36.5606577077708,세종특별자치시,0,36,세종특별자치시,,,36110000,0,
